		Li	Ow	Li	Hw	Li	C00	Li	C01	Li	O02	Li	C03	Li	O04	Li	O05	Li	C06	Li	H07	Li	CBT	Li	F1	Li	SBT	Li	NBT	Li	OBT
68	4.05	0.488126	1.22598	0.648791	2.32678	0.654128	0.103305	2.20843	0.261215	4.09632	0.426312	0.337045	0.579818	0.854305	0.604303	3.79101	0.479185	2.44507	0.364251	0.553825	0.136738	2.2174	0.596418	1.57199	2.48958	0.385245	2.8598	3.44394	0.847083	1.59142	4.14881
69	4.11	0.412127	1.24015	0.68012	2.37357	0.678491	0.116782	2.26502	0.306206	4.11904	0.508128	0.375874	0.587284	0.765909	0.619516	3.48375	0.548383	2.35152	0.410959	0.561949	0.1479	2.54468	0.760791	1.63763	2.80693	0.39924	2.88559	3.73392	0.96768	1.74603	4.37438
70	4.17	0.356594	1.25278	0.708875	2.42377	0.698713	0.131068	2.24088	0.352025	3.56791	0.581082	0.414899	0.595767	0.654017	0.632889	2.83418	0.606334	2.20021	0.455947	0.572637	0.159609	2.85175	0.950418	1.69203	3.14446	0.435666	2.91456	4.08534	1.10351	1.89993	4.62705
71	4.23	0.324203	1.26459	0.731258	2.47705	0.712959	0.146069	2.13489	0.396943	2.63306	0.63648	0.452892	0.605296	0.536047	0.644168	2.05834	0.649641	2.00363	0.498103	0.583193	0.171879	3.12313	1.16411	1.73777	3.50116	0.490778	2.94814	4.48753	1.25703	2.05002	4.90758
72	4.29	0.311884	1.27628	0.744852	2.53288	0.726949	0.161801	1.9641	0.439447	1.72434	0.673797	0.49008	0.615902	0.429298	0.653458	1.40493	0.680045	1.7842	0.536715	0.593411	0.184721	3.35432	1.40017	1.77345	3.87559	0.55746	2.98737	4.88101	1.42878	2.19504	5.21654
73	4.35	0.311403	1.28828	0.748619	2.59057	0.735942	0.178176	1.74739	0.478328	1.10923	0.698478	0.522894	0.627536	0.3416	0.661059	0.984594	0.701952	1.5645	0.571525	0.60478	0.198178	3.53874	1.65623	1.79871	4.26605	0.631347	3.03306	5.19067	1.61658	2.32435	5.55292
74	4.41	0.321925	1.30103	0.742415	2.64937	0.74273	0.195161	1.52907	0.513295	0.776026	0.716224	0.556851	0.640271	0.279409	0.667448	0.758043	0.719288	1.36586	0.602761	0.617682	0.212303	3.67471	1.92952	1.818	4.67166	0.704171	3.08543	5.30877	1.81398	2.38175	5.90718
75	4.47	0.335584	1.31468	0.723357	2.70824	0.747723	0.212728	1.32329	0.544386	0.610648	0.730571	0.59194	0.654178	0.240154	0.673091	0.646195	0.73447	1.19965	0.630946	0.629556	0.227094	3.7483	2.21591	1.82834	5.09075	0.773376	3.14452	5.11175	2.00927	2.27246	6.25444
76	4.53	0.351802	1.32938	0.697365	2.76652	0.751847	0.23087	1.15804	0.572329	0.527283	0.743295	0.626702	0.669301	0.218466	0.678362	0.592362	0.748764	1.07454	0.656875	0.638315	0.242497	3.71244	2.50723	1.82877	5.52127	0.834951	3.21004	4.50657	2.18609	1.95694	6.56156
77	4.59	0.368564	1.34519	0.669011	2.82392	0.751195	0.24948	1.0344	0.597955	0.477852	0.755133	0.662071	0.685702	0.210745	0.683583	0.559953	0.762636	0.980485	0.681165	0.645133	0.258479	3.4982	2.78906	1.82002	5.96115	0.89186	3.28189	3.56438	2.32967	1.538	6.80938
78	4.65	0.384812	1.36214	0.643	2.88054	0.756891	0.268724	0.94218	0.62191	0.445226	0.766452	0.696942	0.703422	0.212076	0.688975	0.542099	0.776419	0.913439	0.704389	0.651088	0.275033	3.0821	3.0439	1.79924	6.40746	0.943136	3.35987	2.52495	2.43405	1.16279	7.00167
79	4.71	0.399986	1.38021	0.6227	2.9368	0.757357	0.28848	0.874464	0.644721	0.42121	0.77744	0.728278	0.72242	0.221659	0.694757	0.532089	0.790298	0.865062	0.726955	0.654109	0.292096	2.55741	3.26085	1.76417	6.85643	0.994186	3.44421	1.64712	2.50392	0.897594	7.15395
80	4.77	0.41469	1.39942	0.611661	2.99347	0.763183	0.308899	0.834737	0.667053	0.403083	0.788224	0.755171	0.742624	0.23443	0.701029	0.52078	0.804232	0.831988	0.749214	0.658583	0.309716	2.06241	3.44029	1.71667	7.30451	1.04926	3.5355	1.04148	2.54922	0.733994	7.28168
81	4.83	0.428785	1.41979	0.610535	3.05148	0.774463	0.330144	0.81383	0.689378	0.392093	0.79898	0.7785	0.763979	0.251227	0.707921	0.51666	0.818405	0.814078	0.771546	0.660588	0.327837	1.68534	3.59064	1.65701	7.74797	1.10864	3.6344	0.680133	2.57956	0.641449	7.39612
82	4.89	0.442687	1.44134	0.618714	3.11173	0.793271	0.352448	0.807968	0.712096	0.384543	0.809792	0.793139	0.78628	0.269966	0.715512	0.515154	0.832889	0.804075	0.794154	0.663246	0.346486	1.43487	3.72184	1.58455	8.18264	1.17089	3.74147	0.483284	2.60166	0.59059	7.50413
83	4.95	0.455714	1.46408	0.635732	3.17517	0.820997	0.376103	0.808239	0.735383	0.381552	0.820786	0.797217	0.80925	0.291711	0.723916	0.518421	0.847826	0.801099	0.817235	0.666086	0.365677	1.2778	3.84157	1.50764	8.60642	1.23011	3.85672	0.382517	2.61958	0.565901	7.61018
